time	V(vin)	V(vout)
7.551862500149465e-003	-3.201253e-003	-3.127918e-003
7.581159375149464e-003	-4.881244e-003	-4.752463e-003
7.610456250149464e-003	-6.396302e-003	-6.216839e-003
7.639753125149463e-003	-7.695236e-003	-7.471596e-003
7.659284375149462e-003	-8.419101e-003	-8.170389e-003
7.678815625149462e-003	-9.016335e-003	-8.746513e-003
7.698346875149462e-003	-9.477955e-003	-9.191311e-003
7.717878125149461e-003	-9.797018e-003	-9.498099e-003
7.737409375149461e-003	-9.968725e-003	-9.662268e-003
7.756940625149460e-003	-9.990493e-003	-9.681351e-003
7.776471875149460e-003	-9.861995e-003	-9.555063e-003
7.796003125149460e-003	-9.585162e-003	-9.285300e-003
7.815534375149459e-003	-9.164160e-003	-8.876115e-003
7.835065625149459e-003	-8.605321e-003	-8.333656e-003
7.854596875149458e-003	-7.917049e-003	-7.666074e-003
7.883893750149458e-003	-6.665097e-003	-6.452518e-003
7.913190625149457e-003	-5.187938e-003	-5.021384e-003
7.942487500149456e-003	-3.535483e-003	-3.420998e-003
7.971784375149456e-003	-1.763568e-003	-1.705408e-003
7.982945089435169e-003	-1.060962e-003	-1.025257e-003
7.994105803720885e-003	-3.616848e-004	-3.483902e-004
8.005266518006598e-003	3.342623e-004	3.251926e-004
8.016427232292312e-003	1.026880e-003	9.954911e-004
8.027587946578025e-003	1.716167e-003	1.662505e-003
8.038748660863741e-003	2.402126e-003	2.326236e-003
8.049909375149454e-003	3.084754e-003	2.986681e-003
8.079206250149454e-003	4.773773e-003	4.620488e-003
8.108503125149453e-003	6.301491e-003	6.097763e-003
8.137800000149452e-003	7.616288e-003	7.368563e-003
8.157331250149452e-003	8.352248e-003	8.079500e-003
8.176862500149451e-003	8.962582e-003	8.668694e-003
8.196393750149451e-003	9.438111e-003	9.127276e-003
8.215925000149451e-003	9.771681e-003	9.448341e-003
8.235456250149450e-003	9.958277e-003	9.627055e-003
8.254987500149450e-003	9.995090e-003	9.660727e-003
8.274518750149449e-003	9.881568e-003	9.548850e-003
8.294050000149449e-003	9.619419e-003	9.293110e-003
8.313581250149449e-003	9.212584e-003	8.897356e-003
8.333112500149448e-003	8.667183e-003	8.367547e-003
8.352643750149448e-003	7.991420e-003	7.711659e-003
8.372175000149447e-003	7.195459e-003	6.939567e-003
8.401471875149447e-003	5.802784e-003	5.589406e-003
8.430768750149446e-003	4.214039e-003	4.049958e-003
8.460065625149445e-003	2.482905e-003	2.373268e-003
8.471226339435159e-003	1.789490e-003	1.701847e-003
8.482387053720874e-003	1.095807e-003	1.030263e-003
8.493547768006588e-003	4.018559e-004	3.585146e-004
8.504708482292301e-003	-2.923627e-004	-3.133967e-004
8.515869196578015e-003	-9.868492e-004	-9.854714e-004
8.527029910863730e-003	-1.681604e-003	-1.657709e-003
8.538190625149444e-003	-2.376626e-003	-2.330111e-003
8.567487500149443e-003	-4.114428e-003	-4.010886e-003
8.596784375149442e-003	-5.713207e-003	-5.556533e-003
8.626081250149442e-003	-7.118943e-003	-6.914851e-003
8.645612500149441e-003	-7.925079e-003	-7.693368e-003
8.665143750149441e-003	-8.612014e-003	-8.356382e-003
8.684675000149441e-003	-9.169417e-003	-8.893929e-003
8.704206250149440e-003	-9.588904e-003	-9.297933e-003
8.723737500149440e-003	-9.864164e-003	-9.562324e-003
8.743268750149439e-003	-9.991057e-003	-9.683128e-003
8.762800000149439e-003	-9.967676e-003	-9.658530e-003
8.782331250149439e-003	-9.794373e-003	-9.488901e-003
8.801862500149438e-003	-9.473752e-003	-9.176789e-003
8.821393750149438e-003	-9.010638e-003	-8.726883e-003
8.840925000149437e-003	-8.411995e-003	-8.145943e-003
8.860456250149437e-003	-7.686828e-003	-7.442699e-003
8.889753125149436e-003	-6.386184e-003	-6.182092e-003
8.919050000149436e-003	-4.869758e-003	-4.713034e-003
8.948346875149435e-003	-3.188787e-003	-3.085131e-003
8.977643750149434e-003	-1.400070e-003	-1.353364e-003
8.988804464435148e-003	-6.942933e-004	-6.701770e-004
8.999965178720863e-003	6.360420e-006	7.990265e-006
9.011125893006577e-003	7.018912e-004	6.811378e-004
9.022286607292290e-003	1.392299e-003	1.349266e-003
9.033447321578004e-003	2.077584e-003	2.012374e-003
9.044608035863719e-003	2.757746e-003	2.670462e-003
9.055768750149433e-003	3.432786e-003	3.323530e-003
9.085065625149432e-003	5.093963e-003	4.930306e-003
9.114362500149431e-003	6.583020e-003	6.370082e-003
9.143659375149431e-003	7.849643e-003	7.594178e-003
9.163190625149430e-003	8.548995e-003	8.269636e-003
9.182721875149430e-003	9.119761e-003	8.820491e-003
9.202253125149430e-003	9.553358e-003	9.238450e-003
9.221784375149429e-003	9.843263e-003	9.517221e-003
9.241315625149429e-003	9.985116e-003	9.652606e-003
9.260846875149428e-003	9.976785e-003	9.642567e-003
9.280378125149428e-003	9.818393e-003	9.487255e-003
9.299909375149427e-003	9.512323e-003	9.189009e-003
9.319440625149427e-003	9.063180e-003	8.752318e-003
9.338971875149427e-003	8.477717e-003	8.183759e-003
9.358503125149426e-003	7.764741e-003	7.491890e-003
9.387800000149426e-003	6.480135e-003	6.246137e-003
9.417096875149425e-003	4.976572e-003	4.788896e-003
9.446393750149424e-003	3.304856e-003	3.169438e-003
9.475690625149424e-003	1.521471e-003	1.442507e-003
9.486851339435137e-003	8.166451e-004	7.601769e-004
9.498012053720853e-003	1.163450e-004	8.232209e-005
9.509172768006566e-003	-5.794294e-004	-5.910571e-004
9.520333482292280e-003	-1.270678e-003	-1.259961e-003
9.531494196577993e-003	-1.957401e-003	-1.924389e-003
9.542654910863709e-003	-2.639598e-003	-2.584341e-003
9.553815625149422e-003	-3.317269e-003	-3.239818e-003
9.583112500149421e-003	-4.987979e-003	-4.855342e-003
9.612409375149421e-003	-6.490150e-003	-6.307212e-003
9.641706250149420e-003	-7.773024e-003	-7.546401e-003
9.661237500149420e-003	-8.484687e-003	-8.233370e-003
9.680768750149419e-003	-9.068731e-003	-8.796720e-003
9.700300000149419e-003	-9.516373e-003	-9.227984e-003
9.719831250149419e-003	-9.820880e-003	-9.520683e-003
